    1	  0	  0	  0	  0	
    2	 54	 96	180	346	
    3	 56	 99	182	348	
    4	 58	100	183	349	
    5	 59	101	184	350	
    6	 59	101	184	350	
    7	 59	101	184	350	
    8	 60	101	185	350	
    9	 60	102	185	351	
   10	 60	102	185	351	
   20	 61	102	185	351	
   30	 61	103	186	351	
   40	 61	103	186	352	
   50	 61	103	186	352	
   60	 61	103	186	352	
   70	 61	103	186	352	
   80	 61	103	186	352	
   90	 61	103	186	352	
  100	 62	103	186	352	
  200	 62	103	186	352	
  300	 62	103	186	352	
  400	 62	103	186	352	
  500	 62	103	186	352	
  600	 62	103	186	352	
  700	 62	103	186	352	
  800	 62	103	186	352	
  900	 62	103	186	352	
 1000	 62	103	186	352	
 2000	 62	103	186	352	
 3000	 62	103	186	352	
 4000	 62	103	186	352	
 5000	 62	103	186	352	
 6000	 62	103	186	352	
 7000	 62	103	186	352	
 8000	 62	103	186	352	
 9000	 62	103	186	352	
10000	 62	103	186	352	
