100	660
200	660
300	660
400	660
500	699
600	798
700	798
800	795
900	793
1000	790
1100	790
1200	787
1300	787
1400	787
1500	784
1600	784
1700	784
1800	784
1900	779
2000	779
2100	779
2200	779
2300	779
2400	779
2500	779
2600	773
2700	773
2800	773
2900	773
3000	773
3100	773
3200	773
3300	773
3400	773
3500	773
3600	773
3700	773
3800	773
3900	761
4000	761
4100	761
4200	761
4300	761
4400	761
4500	761
4600	761
4700	761
4800	761
4900	761
5000	761
5100	761
5200	761
5300	761
5400	761
5500	761
5600	761
5700	761
5800	761
5900	761
6000	761
6100	761
6200	761
6300	761
6400	761
6500	761
6600	761
6700	761
6800	761
6900	761
7000	761
7100	761
7200	761
7300	761
7400	761
7500	761
7600	761
7700	761
7800	761
7900	761
8000	660
