    1	    0	    0	    0	    0	
    2	   59	  108	  203	  393	
    3	   67	  121	  228	  442	
    4	   74	  134	  253	  490	
    5	   81	  147	  277	  538	
    6	   87	  159	  301	  586	
    7	   94	  171	  325	  633	
    8	  100	  183	  349	  681	
    9	  106	  195	  373	  728	
   10	  112	  207	  397	  776	
   11	  118	  219	  420	  823	
   12	  124	  231	  444	  871	
   13	  130	  243	  468	  918	
   14	  136	  255	  492	  965	
   15	  142	  267	  515	 1013	
   16	  148	  279	  539	 1060	
   17	  154	  290	  563	 1108	
   18	  160	  302	  587	 1155	
   19	  166	  314	  610	 1202	
   20	  172	  326	  634	 1250	
