1	0	0	0	0	0	0	0	0	
2	37	30	33	27	31	25	30	25	
3	59	43	55	40	53	38	52	37	
4	81	52	76	49	74	48	73	47	
5	102	60	97	57	95	56	94	55	
6	123	66	118	64	116	62	114	62	
7	144	72	139	69	136	68	135	67	
8	164	76	160	74	157	73	156	72	
9	185	80	180	78	178	77	177	76	
10	206	83	201	81	199	80	197	80	
11	227	86	222	84	219	84	218	83	
12	248	89	243	87	240	86	239	86	
13	268	91	263	90	261	89	260	88	
14	289	94	284	92	282	91	280	91	
15	310	95	305	94	302	93	301	93	
16	331	97	326	96	323	95	322	95	
17	351	99	346	97	344	97	343	96	
18	372	100	367	99	365	98	363	98	
19	393	102	388	100	385	100	384	99	
20	414	103	409	102	406	101	405	101	
21	434	104	429	103	427	102	426	102	
22	455	105	450	104	448	103	446	103	
23	476	106	471	105	468	104	467	104	
24	497	107	491	106	489	105	488	105	
25	517	108	512	107	510	106	508	106	
26	538	109	533	108	530	107	529	107	
27	559	109	554	108	551	108	550	108	
28	580	110	574	109	572	109	571	109	
29	600	111	595	110	593	109	591	109	
30	621	112	616	111	613	110	612	110	
31	642	112	637	111	634	111	633	111	
32	662	113	657	112	655	111	654	111	
33	683	113	678	112	676	112	674	112	
34	704	114	699	113	696	113	695	112	
35	725	114	720	113	717	113	716	113	
36	745	115	740	114	738	114	736	113	
37	766	115	761	114	758	114	757	114	
38	787	116	782	115	779	114	778	114	
39	808	116	802	115	800	115	799	115	
40	828	116	823	116	821	115	819	115	
41	849	117	844	116	841	116	840	116	
42	870	117	865	116	862	116	861	116	
43	890	117	885	117	883	116	881	116	
44	911	118	906	117	903	117	902	117	
45	932	118	927	117	924	117	923	117	
46	953	118	947	118	945	117	944	117	
47	973	119	968	118	966	118	964	118	
48	994	119	989	118	986	118	985	118	
49	1015	119	1010	119	1007	118	1006	118	
50	1036	120	1030	119	1028	119	1027	119	
51	1056	120	1051	119	1049	119	1047	119	
52	1077	120	1072	119	1069	119	1068	119	
53	1098	120	1093	120	1090	119	1089	119	
54	1118	121	1113	120	1111	120	1109	120	
55	1139	121	1134	120	1131	120	1130	120	
56	1160	121	1155	120	1152	120	1151	120	
57	1181	121	1175	121	1173	120	1172	120	
58	1201	121	1196	121	1194	121	1192	120	
59	1222	122	1217	121	1214	121	1213	121	
60	1243	122	1238	121	1235	121	1234	121	
61	1264	122	1258	121	1256	121	1255	121	
62	1284	122	1279	122	1277	121	1275	121	
63	1305	122	1300	122	1297	122	1296	121	
64	1326	122	1321	122	1318	122	1317	122	
65	1346	123	1341	122	1339	122	1337	122	
66	1367	123	1362	122	1359	122	1358	122	
67	1388	123	1383	122	1380	122	1379	122	
68	1409	123	1403	123	1401	122	1400	122	
69	1429	123	1424	123	1422	123	1420	122	
70	1450	123	1445	123	1442	123	1441	123	
71	1471	123	1466	123	1463	123	1462	123	
72	1491	124	1486	123	1484	123	1482	123	
73	1512	124	1507	123	1504	123	1503	123	
74	1533	124	1528	123	1525	123	1524	123	
75	1554	124	1549	124	1546	123	1545	123	
76	1574	124	1569	124	1567	124	1565	123	
77	1595	124	1590	124	1587	124	1586	124	
78	1616	124	1611	124	1608	124	1607	124	
