1	1176
2	1199
3	1213
4	1222
5	1230
6	1236
7	1240
8	1245
9	1248
10	1252
11	1256
12	1259
13	1260
14	1263
15	1266
16	1268
17	1269
18	1271
19	1274
20	1275
21	1277
22	1278
23	1280
24	1281
25	1283
26	1283
27	1286
28	1286
29	1288
30	1289
31	1289
32	1291
33	1292
34	1292
35	1294
36	1295
37	1295
38	1297
39	1298
40	1298
41	1298
42	1300
43	1300
44	1301
45	1303
46	1303
47	1303
48	1304
49	1304
50	1306
51	1306
52	1306
53	1307
54	1309
55	1309
56	1309
57	1309
58	1310
59	1310
60	1312
61	1312
62	1312
63	1314
64	1314
65	1315
66	1315
67	1315
68	1315
69	1317
70	1317
71	1318
72	1318
73	1318
74	1318
75	1318
76	1318
77	1318
78	1318
79	1318
80	1318
81	1318
82	1318
83	1318
84	1318
85	1318
86	1317
87	1317
88	1317
89	1317
90	1317
91	1317
92	1317
93	1317
94	1317
95	1317
96	1317
97	1315
98	1315
99	1315
100	1315
101	1315
102	1315
103	1315
104	1315
105	1315
106	1315
107	1315
108	1315
109	1315
110	1315
111	1315
112	1315
113	1315
114	1315
115	1315
116	1315
117	1315
118	1315
119	1314
120	1314
121	1314
122	1314
123	1314
124	1314
125	1314
126	1314
127	1314
128	1314
129	1312
130	1312
131	1312
132	1312
133	1312
134	1312
135	1312
136	1312
137	1312
138	1312
139	1312
140	1312
141	1312
142	1312
143	1312
144	1312
145	1312
146	1312
