500  	125  	62   	41   	31   	25   	20   	
510  	127  	63   	42   	31   	25   	21   	
520  	130  	65   	43   	32   	26   	21   	
530  	132  	66   	44   	33   	26   	22   	
540  	135  	67   	45   	33   	27   	22   	
550  	137  	68   	45   	34   	27   	22   	
560  	140  	70   	46   	35   	28   	23   	
570  	142  	71   	47   	35   	28   	23   	
580  	145  	72   	48   	36   	29   	24   	
590  	147  	73   	49   	36   	29   	24   	
600  	150  	75   	50   	37   	30   	25   	
610  	152  	76   	50   	38   	30   	25   	
620  	155  	77   	51   	38   	31   	25   	
630  	157  	78   	52   	39   	31   	26   	
640  	160  	80   	53   	40   	32   	26   	
650  	162  	81   	54   	40   	32   	27   	
660  	165  	82   	55   	41   	33   	27   	
670  	167  	83   	55   	41   	33   	27   	
680  	170  	85   	56   	42   	34   	28   	
690  	172  	86   	57   	43   	34   	28   	
700  	175  	87   	58   	43   	35   	29   	
710  	177  	88   	59   	44   	35   	29   	
720  	180  	90   	60   	45   	36   	30   	
730  	182  	91   	60   	45   	36   	30   	
740  	185  	92   	61   	46   	37   	30   	
750  	187  	93   	62   	46   	37   	31   	
760  	190  	95   	63   	47   	38   	31   	
770  	192  	96   	64   	48   	38   	32   	
780  	195  	97   	65   	48   	39   	32   	
790  	197  	98   	65   	49   	39   	32   	
800  	200  	100  	66   	50   	40   	33   	
810  	202  	101  	67   	50   	40   	33   	
820  	205  	102  	68   	51   	41   	34   	
830  	207  	103  	69   	51   	41   	34   	
840  	210  	105  	70   	52   	42   	35   	
850  	212  	106  	70   	53   	42   	35   	
860  	215  	107  	71   	53   	43   	35   	
870  	217  	108  	72   	54   	43   	36   	
880  	220  	110  	73   	55   	44   	36   	
890  	222  	111  	74   	55   	44   	37   	
900  	225  	112  	75   	56   	45   	37   	
910  	227  	113  	75   	56   	45   	37   	
920  	230  	115  	76   	57   	46   	38   	
930  	232  	116  	77   	58   	46   	38   	
940  	235  	117  	78   	58   	47   	39   	
950  	237  	118  	79   	59   	47   	39   	
960  	240  	120  	80   	60   	48   	40   	
970  	242  	121  	80   	60   	48   	40   	
980  	245  	122  	81   	61   	49   	40   	
990  	247  	123  	82   	61   	49   	41   	
1000 	250  	125  	83   	62   	50   	41   	
1010 	252  	126  	84   	63   	50   	42   	
1020 	255  	127  	85   	63   	51   	42   	
1030 	257  	128  	85   	64   	51   	42   	
1040 	260  	130  	86   	65   	52   	43   	
1050 	262  	131  	87   	65   	52   	43   	
1060 	265  	132  	88   	66   	53   	44   	
1070 	267  	133  	89   	66   	53   	44   	
1080 	270  	135  	90   	67   	54   	45   	
1090 	272  	136  	90   	68   	54   	45   	
1100 	275  	137  	91   	68   	55   	45   	
1110 	277  	138  	92   	69   	55   	46   	
1120 	280  	140  	93   	70   	56   	46   	
1130 	282  	141  	94   	70   	56   	47   	
1140 	285  	142  	95   	71   	57   	47   	
1150 	287  	143  	95   	71   	57   	47   	
1160 	290  	145  	96   	72   	58   	48   	
1170 	292  	146  	97   	73   	58   	48   	
1180 	295  	147  	98   	73   	59   	49   	
1190 	297  	148  	99   	74   	59   	49   	
1200 	300  	150  	100  	75   	60   	50   	
